"CUSTOMER_ID";"CUSTOMER_LASTNAME";"CUSTOMER_FIRSTNAME";"CUSTOMER_SEX";"CUSTOMER_BIRTHDAY";"CUSTOMER_COUNTRY";"CUSTOMER_REGION";"CUSTOMER_REGIONNAME";"CUSTOMER_POSTCODE";"CUSTOMER_CITY";"CUSTOMER_STREET";"CUSTOMER_HOUSENUMBER";"CUSTOMER_LATITUDE";"CUSTOMER_LONGITUDE";"CUSTOMER_EMAIL";"CUSTOMER_PHONE"
C_000000559;Stumpe;Melina;f;"1953-07-13";Germany;SN;Sachsen;"8328";Stützengrün;Bärenwalder Straße;"16";"50.5491937";"12.546639";melina.stumpe@email.com;+49771582906
C_000000612;Göttlicher;Sina;f;"2002-01-24";Germany;BE;Berlin;"12623";Berlin;Summter Straße;"50";"52.4892255";"13.6235483";sina.göttlicher@email.com;+49300102213
C_000001396;Brauner;Lian;f;"1984-09-08";Switzerland;LU;Luzern;"6020";Emmenbrücke;Kapfweg;"3b";"47.0906193";"8.2738429";lian.brauner@email.com;+41386288866
C_000000391;Meinzer;Anna;f;"1996-07-07";Switzerland;AG;Aargau;"4802";Strengelbach;Brittnauerstrasse;"58";"47.2713864";"7.9327602";anna.meinzer@email.com;+41491279737
C_000000271;Beth;Walter;m;"1965-03-14";Germany;BE;Berlin;"13125";Berlin;Busonistraße;"63";"52.6188939";"13.4820457";walter.beth@email.com;+49565449253
C_000011332;Strohmeier;Sena;f;"1981-07-27";Austria;W;Wien;"1190";Wien;Trummelhofgasse;"7";"48.258819";"16.3410748";sena.strohmeier@email.com;+43480272597
C_000031936;Queck;Alessandro;m;"1987-06-22";Germany;NI;Niedersachsen;"49846";Hoogstede;Eichenstraße;"38";"52.5754872";"6.9459546";alessandro.queck@email.com;+49994448906
C_000005742;Rief;Timor;m;"1990-10-09";Austria;W;Wien;"1130";Wien;Dr.-Schober-Straße;"97";"48.163315";"16.2620239";timor.rief@email.com;+43669564460
C_000000792;Schmitz;Faris;m;"1976-11-19";Germany;NW;Nordrhein-Westfalen;"42549";Velbert;Friedrich-Ebert-Straße;"64";"51.3364146";"7.0475405";faris.schmitz@email.com;+49798945835
C_000000439;Stallmann;Maria;f;"1980-11-03";Germany;NW;Nordrhein-Westfalen;"58332";Schwelm;Steinhauser Bergstraße;"3";"51.2778782";"7.2771057";maria.stallmann@email.com;+49756832001
C_000001518;Schnapp;Armin;m;"1975-04-26";Germany;HE;Hessen;"60529";Frankfurt am Main;Brohltalstraße;"30";"50.0878773";"8.5762828";armin.schnapp@email.com;+49381146925
C_000007782;Stock;Lotta;f;"2000-11-13";Germany;HE;Hessen;"60318";Frankfurt am Main;Adlerflychtstraße;"31";"50.1237078";"8.6828587";lotta.stock@email.com;+49740588350
C_000000560;Heintze;Philine;f;"1978-11-11";Germany;SN;Sachsen;"1662";Meißen Sachs;Trinitatiskirchweg;"22";"51.1718152";"13.4912133";philine.heintze@email.com;+49208834534
C_000023354;Winkler;Lia;f;"1959-08-15";Germany;TH;Thüringen;"99752";Anrode;Grüne Gasse;"6";"51.2387336";"10.3726992";lia.winkler@email.com;+49288313915
C_000001397;Biel;Giesela;f;"1953-11-26";Switzerland;AG;Aargau;"6042";Dietwil;Feldstrasse;"14.1";"47.1459374";"8.3902321";giesela.biel@email.com;+41669790107
C_000000395;Stitz;Umut;m;"1966-01-29";Switzerland;NE;Neuenburg;"2400";Le Locle;Grands-Monts;"13";"47.0701238";"6.7526466";umut.stitz@email.com;+41946908028
C_000011355;Rinne;Henri;m;"1945-04-19";Austria;W;Wien;"1170";Wien;Umlauftgasse;"2A";"48.2251781";"16.3026926";henri.rinne@email.com;+43127396794
C_000000540;Peters;Melissa;f;"1946-08-12";Germany;BE;Berlin;"12249";Berlin;Mühlenstraße;"64 C";"52.4318991";"13.348838";melissa.peters@email.com;+49246804390
C_000009552;Sohns;Cheyenne;f;"1947-02-19";Austria;W;Wien;"1150";Wien;Sechshauser Straße;"33";"48.1877953";"16.3322601";cheyenne.sohns@email.com;+43301650105
C_000001731;Böhm;Tansu;f;"1971-12-07";Germany;HE;Hessen;"60437";Frankfurt am Main;Talstraße;"41b";"50.1874033";"8.6426168";tansu.böhm@email.com;+49492574936
C_000001097;Radmacher;Elma;f;"1958-06-04";Germany;NW;Nordrhein-Westfalen;"47551";Bedburg-Hau;Schlenk;"1";"51.7899909";"6.2304839";elma.radmacher@email.com;+49810036835
C_000003214;Lemmer;Frederik;m;"1959-11-07";Austria;W;Wien;"1110";Wien;Gratian-Marx-Straße;"6";"48.1837717";"16.4077223";frederik.lemmer@email.com;+43625777588
C_000001082;Pusch;Nisa;f;"1942-02-27";Germany;NW;Nordrhein-Westfalen;"41460";Neuss;Nibelungenstraße;"94";"51.2167475";"6.6654139";nisa.pusch@email.com;+49473304115
C_000023312;Osthoff;Julia;f;"1989-01-19";Germany;TH;Thüringen;"99752";Ziegelheim;Ringstraße;"4";"50.9080751";"12.5423549";julia.osthoff@email.com;+49740003308
C_000023356;Ehinger;Lena;f;"1967-06-15";Germany;TH;Thüringen;"99752";Meuselwitz;Meuselwitzer Straße;"11a";"51.0549828";"12.3487636";lena.ehinger@email.com;+49515447783
C_000001399;Mrosek;Louis;m;"1996-01-31";Switzerland;FR;Freiburg;"1634";La Roche FR;Route du Barrage;"25";"46.6962994";"7.1308474";louis.mrosek@email.com;+41938095405
C_000000562;Flegel;Melisa;f;"1978-10-20";Germany;SN;Sachsen;"9244";Lichtenau b Chemnitz  Sachs;Martinstraße;"32";"50.9199127";"13.0165774";melisa.flegel@email.com;+49874538755
C_000005599;Helmert;Madita;f;"1947-11-01";Austria;W;Wien;"1210";Wien;Wildnergasse;"63";"48.2743057";"16.3778704";madita.helmert@email.com;+43352725354
C_000000054;Greve;Elias;m;"1982-12-08";Germany;SN;Sachsen;"4860";Torgau;Am Fort Zinna;"2";"51.5635303";"12.9837342";elias.greve@email.com;+49664722535
C_000000273;Bechmann;Leonida;f;"1953-12-25";Germany;BE;Berlin;"12524";Berlin;Markomannenstraße;"10";"52.4154983";"13.551994";leonida.bechmann@email.com;+49241613583
C_000023319;Renn;Luuk;m;"1994-11-18";Germany;TH;Thüringen;"99752";St.Bernhard;Exdorfer Straße;"32";"50.4608731";"10.5945689";luuk.renn@email.com;+49184817150
C_000005769;Junginger;Lilith;f;"1965-11-05";Austria;W;Wien;"1200";Wien;Jägerstraße;"65-67";"48.2346488";"16.3700644";lilith.junginger@email.com;+4336693990
C_000005641;Rossi;Lukas;m;"1991-11-28";Austria;W;Wien;"1040";Wien;Große Neugasse;"42";"48.1941066";"16.3631312";lukas.rossi@email.com;+43746730054
C_000005786;Caliskan;Marie;f;"1982-12-26";Austria;W;Wien;"1030";Wien;Riesgasse;"6";"48.198284";"16.3890336";marie.caliskan@email.com;+43442954747
C_000000400;Richarz;Peter;m;"1982-01-12";Switzerland;AG;Aargau;"5430";Wettingen;Märzengasse;"14a";"47.4639411";"8.3335632";peter.richarz@email.com;+41661734794
C_000023330;Beyer;Josefine;f;"1958-02-22";Germany;TH;Thüringen;"99752";Stadtlengsfeld;Alter Weg;"79b";"50.7574114";"10.0792763";josefine.beyer@email.com;+49114409372
C_000047217;Gläser;Vincent;m;"1962-03-28";Germany;NI;Niedersachsen;"49846";Hoogstede;Bree;"21";"52.5787091";"6.9434276";vincent.gläser@email.com;+49964834611
C_000001401;Nürnberger;Maria;f;"1976-07-22";Switzerland;BE;Bern;"3713";Reichenbach im Kandertal;Schälm;"705";"46.6313139";"7.6708941";maria.nürnberger@email.com;+41965414470
C_000023358;Schneiders;Julie;f;"1968-12-20";Germany;TH;Thüringen;"99752";Greiz;Otto-Meier-Straße;"57";"50.6401668";"12.1676052";julie.schneiders@email.com;+49708942668
C_000000047;Schwarzmeier;Nina;f;"1963-05-19";Germany;SN;Sachsen;"1705";Freital;Am Pulverturm;"90";"51.0086876";"13.6399211";nina.schwarzmeier@email.com;+4931767220
C_000005676;Huß;Ophelia;f;"1941-12-20";Austria;W;Wien;"1220";Wien;Kraygasse;"73";"48.2464709";"16.4482438";ophelia.huß@email.com;+4344769986
C_000001824;Froese;Falk;m;"1999-07-20";Germany;HE;Hessen;"60438";Frankfurt am Main;Friedrich-Karl-Klausing-Straße;"6";"50.1804432";"8.6261591";falk.froese@email.com;+49994746070
C_000003236;Lazar;Erva;f;"1952-06-20";Austria;W;Wien;"1210";Wien;Matthias-Ernst-Pista-Gasse;"9";"48.2868004";"16.3857332";erva.lazar@email.com;+43262003335
C_000011213;Hilger;Sophia;f;"1991-03-22";Austria;W;Wien;"1030";Wien;Hainburger Straße;"56";"48.1981669";"16.3987012";sophia.hilger@email.com;+43684227353
C_000000058;Tischendorf;Luca;m;"1955-07-04";Germany;SN;Sachsen;"1445";Radebeul;Langenbergweg;"10";"51.1232646";"13.6072721";luca.tischendorf@email.com;+49837489690
C_000005685;Steck;Luisa;f;"1975-12-13";Austria;W;Wien;"1080";Wien;Albertgasse;"33";"48.2112749";"16.3437962";luisa.steck@email.com;+43977026093
C_000015379;Weber;Uwe;m;"1960-07-26";Germany;BY;Bayern;"81667";München;Haidenauplatz;"46";"48.1325366";"11.6099427";uwe.weber@email.com;+49320515836
C_000047220;Schwinn;Zélie;f;"1994-03-16";Germany;NI;Niedersachsen;"49843";Uelsen;Waldweg;"22";"52.4947786";"6.8545876";zélie.schwinn@email.com;+49575383455
C_000000565;Hüseyin;Defne;f;"1997-05-11";Germany;SN;Sachsen;"9212";Limbach-Oberfrohna;Thierbacher Straße;"6";"50.914445";"12.6611869";defne.hüseyin@email.com;+49139205218
C_000009655;Dittmann;Fynn;m;"2002-05-13";Austria;W;Wien;"1130";Wien;Konrad-Duden-Gasse;"71";"48.1787637";"16.2869418";fynn.dittmann@email.com;+43769068346
C_000023340;Radke;Lucie;f;"1949-12-13";Germany;TH;Thüringen;"99752";Umpferstedt;Hinter dem Grübel;"3";"50.9762974";"11.4107392";lucie.radke@email.com;+49936826831
C_000000793;Bollmann;Happy;f;"1944-02-13";Germany;NW;Nordrhein-Westfalen;"47533";Kleve;Hoffmannallee;"18";"51.7811549";"6.1287103";happy.bollmann@email.com;+49784588575
C_000001088;Knauff;İlhan;m;"1942-04-20";Germany;NW;Nordrhein-Westfalen;"47608";Geldern;Rosengarten;"16";"51.5158291";"6.3395137";i̇lhan.knauff@email.com;+49286112493
C_000011357;Bahlmann;Adrian;m;"1985-12-19";Austria;W;Wien;"1020";Wien;Novaragasse;"37";"48.2185113";"16.386943";adrian.bahlmann@email.com;+43412721689
C_000000402;Pätzold;Allan;m;"1944-11-09";Switzerland;BS;Basel-Stadt;"4058";Basel;Im Heimatland;"10";"47.5646013";"7.6151882";allan.pätzold@email.com;+41499718105
C_000011329;Leibold;Chadrac;m;"1967-06-19";Austria;W;Wien;"1050";Wien;Wiedner Hauptstraße;"114";"48.1853688";"16.3622158";chadrac.leibold@email.com;+437253112
C_000000561;Pfeiler;Tuncay;m;"1991-03-22";Germany;BE;Berlin;"14167";Berlin;Dahlemer Weg;"156";"52.4235962";"13.2753614";tuncay.pfeiler@email.com;+49955182154
C_000023347;Rausch;Lucas;m;"1964-03-20";Germany;TH;Thüringen;"99752";Heilbad Heiligenstadt;Obere Altstadt;"5";"51.3791437";"10.1388173";lucas.rausch@email.com;+49761158766
C_000001410;Klimpel;Julien;m;"1987-07-24";Switzerland;BE;Bern;"4917";Melchnau;Schiltackerstrasse;"22";"47.1767647";"7.8565414";julien.klimpel@email.com;+41559174533
C_000001865;Specht;Hind;f;"1955-02-16";Germany;HE;Hessen;"60385";Frankfurt am Main;Jacobystraße;"25";"50.1196224";"8.715438";hind.specht@email.com;+49215913088
C_000001370;Heinold;Sarah;f;"1987-01-21";Germany;NW;Nordrhein-Westfalen;"47546";Kalkar;Dorfstraße;"31";"51.7736049";"6.2893949";sarah.heinold@email.com;+49598139217
C_000023711;Burkhardt;Joshua;m;"1973-09-14";Germany;TH;Thüringen;"99752";Großbreitenbach;Am Schwimmbad;"16";"50.5863027";"10.9900686";joshua.burkhardt@email.com;+49853372465
C_000006184;Hehl;Luana;f;"1982-02-20";Germany;HE;Hessen;"60388";Frankfurt am Main;Bessemerstraße;"12a";"50.1429742";"8.7505278";luana.hehl@email.com;+49592593125
C_000000568;Schwarz;Kimia;f;"1999-02-10";Germany;SN;Sachsen;"1833";Dürrröhrsdorf-Dittersbach;Erlenweg;"2";"51.0372277";"13.9997721";kimia.schwarz@email.com;+49512075353
C_000021647;Häcker;Deshen;m;"1975-08-09";Germany;NI;Niedersachsen;"48465";Samern;Salzbergener Straße;"117";"52.32566";"7.2688153";deshen.häcker@email.com;+4911026535
C_000000153;Quick;Felicitas;f;"1962-02-19";Germany;SN;Sachsen;"4668";Grimma;Zschoppacher Straße;"1";"51.224339";"12.8889859";felicitas.quick@email.com;+49181257646
C_000001107;Heiderich;Jossi;m;"1996-12-29";Germany;NW;Nordrhein-Westfalen;"42549";Velbert;Am Karrenberg;"22";"51.313624";"7.0707705";jossi.heiderich@email.com;+49376581461
C_000010653;Steinbock;Friedrich;m;"1993-01-22";Austria;W;Wien;"1210";Wien;Amtsstraße;"27";"48.2791573";"16.4072282";friedrich.steinbock@email.com;+4351669669
C_000001413;Margraf;Dalija;f;"1966-11-14";Switzerland;FR;Freiburg;"1712";Tafers;Bierhausstrasse;"36";"46.8107702";"7.1936365";dalija.margraf@email.com;+4119149483
C_000002620;Seichter;Maximilian;m;"1943-05-01";Austria;W;Wien;"1040";Wien;Viktorgasse;"13";"48.189835";"16.3740404";maximilian.seichter@email.com;+43361039962
C_000012393;Lemke;Mathilda;f;"1971-05-27";Austria;W;Wien;"1160";Wien;Ganglbauergasse;"44169";"48.2075009";"16.3252761";mathilda.lemke@email.com;+43897179616
C_000000403;Burchert;Lazo;m;"1970-04-29";Switzerland;LU;Luzern;"6284";Gelfingen;Luzernerstrasse;"11";"47.213437";"8.2659944";lazo.burchert@email.com;+41407461438
C_000003265;Warkentin;Amanda;f;"1945-01-20";Austria;W;Wien;"1110";Wien;Schmidgunstgasse;"32";"48.1610546";"16.4649556";amanda.warkentin@email.com;+43756675219
C_000005792;Lutter;Helena;f;"1996-01-03";Austria;W;Wien;"1230";Wien;Pfarrgasse;"13";"48.1479797";"16.3465733";helena.lutter@email.com;+43729373975
C_000001063;Winters;Antonia;f;"1989-07-19";Switzerland;AR;Appenzell Ausserrhoden;"9410";Heiden;Sonnhalde;"23";"47.4401442";"9.5377677";antonia.winters@email.com;+41782366649
C_000001171;Mang;Rana;f;"1998-05-19";Germany;BE;Berlin;"14089";Berlin;Gustav-Haestskau-Straße;"1 A";"52.491315";"13.1774309";rana.mang@email.com;+49896221006
C_000015518;Gaspar;Lasse;m;"1940-03-22";Germany;BY;Bayern;"80796";München;Elisabethplatz;"47";"48.1576528";"11.5743806";lasse.gaspar@email.com;+49348742368
C_000005866;Puhlmann;Emilia;f;"1995-12-09";Austria;W;Wien;"1130";Wien;Pallenbergstraße;"55";"48.1687064";"16.2651265";emilia.puhlmann@email.com;+43489675952
C_000009063;Emmert;Solveig;f;"1966-03-05";Austria;W;Wien;"1210";Wien;Friedstraße;"36";"48.2463974";"16.4046635";solveig.emmert@email.com;+43257416798
C_000023712;Riegger;Leyla;f;"1998-01-25";Germany;TH;Thüringen;"99752";Kaltennordheim;Schwimmbadweg;"1";"50.6278971";"10.1645881";leyla.riegger@email.com;+49768532336
C_000000285;Krüger;Marius;m;"1965-10-05";Germany;BE;Berlin;"12169";Berlin;Bismarckstraße;"14";"52.4589607";"13.3389853";marius.krüger@email.com;+49957343870
C_000021674;Dreßler;Sophie;f;"1958-12-19";Germany;NI;Niedersachsen;"49828";Lage;Neustadtstraße;"11";"52.4544869";"6.9688124";sophie.dreßler@email.com;+49926904838
C_000001182;Enderlein;Elias;m;"1998-09-20";Germany;BE;Berlin;"12683";Berlin;Blütenauer Straße;"4 A";"52.4757334";"13.5651056";elias.enderlein@email.com;+49884341952
C_000004815;Lippe;Carlotta;f;"1962-05-20";Austria;W;Wien;"1210";Wien;Kaingasse;"2B";"48.2947497";"16.3840904";carlotta.lippe@email.com;+43222439950
C_000001874;Zacher;Bertan;f;"1966-06-26";Germany;HE;Hessen;"60489";Frankfurt am Main;Friedel-Schomann-Weg;"7";"50.125857";"8.6152319";bertan.zacher@email.com;+49962265751
C_000023713;König;Jayden;m;"1961-04-16";Germany;TH;Thüringen;"99752";Dittersdorf;Dragensdorf;"18";"50.645398";"11.8337942";jayden.könig@email.com;+49627213875
C_000001110;Kampen;Ole;m;"1988-02-14";Germany;NW;Nordrhein-Westfalen;"40472";Ratingen;Am Sondert;"7";"51.341507";"6.8746187";ole.kampen@email.com;+49117754185
C_000001415;Eichenseer;Andrìjović;m;"1967-07-18";Switzerland;BE;Bern;"3600";Thun;Göttibachweg;"2d";"46.7555249";"7.6359249";andrìjović.eichenseer@email.com;+41695377603
C_000001064;Brünger;Lara;f;"1957-06-01";Switzerland;AG;Aargau;"5200";Brugg AG;Dorfstrasse;"48";"47.5024791";"8.2333115";lara.brünger@email.com;+41130551402
C_000000795;Köse;Elias;m;"1973-07-04";Germany;NW;Nordrhein-Westfalen;"53804";Much;Hündekausen;"60";"50.927576";"7.4561";elias.köse@email.com;+4955923097
C_000007042;Deller;Elin;f;"1993-03-18";Austria;W;Wien;"1170";Wien;Hubertusweg;"4";"48.2529936";"16.2790135";elin.deller@email.com;+43627697940
C_000011109;Egger;Carl;m;"1949-01-03";Germany;BY;Bayern;"80687";München;Laim;"9";"48.1443523";"11.5038355";carl.egger@email.com;+49613643791
C_000023714;Rossa;Leonie;f;"1952-03-13";Germany;TH;Thüringen;"99752";Ilmenau;Waldstraße;"14c";"50.6787514";"10.9048131";leonie.rossa@email.com;+49850097274
C_000023359;Hartmann;Yusuf;m;"1961-12-15";Germany;TH;Thüringen;"99752";Gotha;Frankenbergstraße;"5";"50.9494192";"10.6929263";yusuf.hartmann@email.com;+49740115725
C_000001065;Wessling;Eylül;f;"1986-12-04";Switzerland;BE;Bern;"2520";La Neuveville;Rue du Collège;"14";"47.0632372";"7.0930787";eylül.wessling@email.com;+41538942628
C_000000571;Drost;Vasil'evič;m;"1950-05-18";Germany;SN;Sachsen;"1259";Dresden;Wilhelm-Weitling-Straße;"13";"51.0062585";"13.8631483";vasil'evič.drost@email.com;+49357723961
C_000003275;Rothweiler;Tim;m;"1996-02-21";Austria;W;Wien;"1220";Wien;Ing.-Sarek-Weg;"30";"48.2297315";"16.4382128";tim.rothweiler@email.com;+43344267593
C_000001373;Albert;Alexander;m;"1998-02-17";Germany;NW;Nordrhein-Westfalen;"46446";Emmerich am Rhein;Zevenaarer Straße;"117";"51.8808714";"6.1549284";alexander.albert@email.com;+49815808236
C_000009085;Kuss;Maria;f;"1983-10-21";Austria;W;Wien;"1160";Wien;Roterdstraße;"91";"48.2214145";"16.2950188";maria.kuss@email.com;+43458511025
C_000007791;Zürn;Annika;f;"1971-06-19";Germany;HE;Hessen;"60326";Frankfurt am Main;Wörsdorfer Straße;"38";"50.1064787";"8.6263542";annika.zürn@email.com;+49697178070
C_000001200;Elster;Abdellah;m;"1967-04-06";Germany;BE;Berlin;"12437";Berlin;Kiefholzstraße;"171 A";"52.4666557";"13.4823164";abdellah.elster@email.com;+49590408615
C_000001067;Wengert;Daris;m;"1972-12-23";Switzerland;NW;Nidwalden;"6052";Hergiswil NW;Mozartweg;"5";"46.9922938";"8.3126398";daris.wengert@email.com;+41144738161
C_000005903;Weber;Karlotta;f;"1963-07-05";Austria;W;Wien;"1100";Wien;Quaringasse;"19";"48.1717405";"16.3530448";karlotta.weber@email.com;+43732950314
C_000000406;Rock;Max;m;"1982-03-31";Switzerland;GR;Graubünden;"7458";Mon;Veia Fressen;"10";"46.6494924";"9.565569";max.rock@email.com;+41678272377
C_000012499;Kokot;Migel;m;"1987-11-10";Austria;W;Wien;"1210";Wien;Prager Straße;"16";"48.2599683";"16.3960937";migel.kokot@email.com;+43339773035
C_000031975;Stephani;Sophia;f;"1986-02-23";Germany;NI;Niedersachsen;"49824";Ringe;Neulandstraße;"4";"52.6011907";"6.9192451";sophia.stephani@email.com;+49339471025
C_000000187;Taubert;Inga;f;"1976-10-14";Germany;NW;Nordrhein-Westfalen;"40789";Monheim am Rhein;Im Pfingsterfeld;"24";"51.079566";"6.8938344";inga.taubert@email.com;+49261048368
C_000000620;Kühnast;Zeyneb;f;"1960-12-30";Germany;BE;Berlin;"13581";Berlin;Brunsbütteler Damm;"103";"52.5339183";"13.182769";zeyneb.kühnast@email.com;+49639754797
C_000001941;Baumeister;Maximilian;m;"1968-09-14";Germany;HE;Hessen;"60388";Frankfurt am Main;Fritz-Schubert-Ring;"18a";"50.1532844";"8.7643976";maximilian.baumeister@email.com;+49595959410
C_000047358;Jaeckel;Juna;f;"1950-11-21";Germany;NI;Niedersachsen;"48465";Suddendorf;Postweg;"21";"52.2986145";"7.218955";juna.jaeckel@email.com;+49135240612
C_000007068;Gartner;Keyfo;m;"1983-06-03";Austria;W;Wien;"1040";Wien;Wiedner Gürtel;"24";"48.1872031";"16.3766035";keyfo.gartner@email.com;+43309271485
C_000011320;Gerisch;Alaaeddine;m;"1964-10-27";Germany;BY;Bayern;"81245";München;Pasing;"10";"48.1477854";"11.4607008";alaaeddine.gerisch@email.com;+49758743527
C_000001068;Naujoks;Alessandro;m;"1999-10-16";Switzerland;BE;Bern;"2520";La Neuveville;Chemin de Bel-Air;"5";"47.0688016";"7.1013724";alessandro.naujoks@email.com;+41494289333
C_000000154;Streich;Giulia;f;"2001-03-11";Germany;SN;Sachsen;"7919";Langenbach b Schleiz;Winterseite;"19";"50.5325916";"11.8988885";giulia.streich@email.com;+49435713543
C_000000296;Ens;Gottlob;m;"1959-07-16";Germany;BE;Berlin;"10625";Berlin;Leibnizstraße;"10";"52.5128022";"13.3151164";gottlob.ens@email.com;+49699939185
C_000000575;Klingberg;Akif;m;"1983-08-20";Germany;SN;Sachsen;"1728";Bannewitz;Königsteinblick;"11";"50.9747867";"13.7161747";akif.klingberg@email.com;+49640175886
C_000000067;Rahmann;Elias;m;"1944-10-01";Germany;SN;Sachsen;"2694";Malschwitz;Mühlweg;"3";"51.2257272";"14.5906927";elias.rahmann@email.com;+4946412248
C_000022042;Diemer;Rolf;m;"1962-06-07";Germany;NI;Niedersachsen;"49843";Uelsen;Am Iland;"29";"52.4914476";"6.8749274";rolf.diemer@email.com;+4988758060
C_000006191;Katzmann;Lias;m;"1989-11-06";Germany;HE;Hessen;"60596";Frankfurt am Main;Oppenheimer Landstraße;"50";"50.1002066";"8.6800192";lias.katzmann@email.com;+4969094840
C_000001375;Spittler;Mattis;m;"1969-01-03";Germany;NW;Nordrhein-Westfalen;"40721";Hilden;Mühle;"60";"51.1708801";"6.9449914";mattis.spittler@email.com;+49520246133
C_000000410;Mietzner;Giuliana;f;"1982-10-28";Switzerland;AG;Aargau;"5033";Buchs AG;Aarauerstrasse;"17";"47.3902883";"8.0671401";giuliana.mietzner@email.com;+41136427894
C_000005563;Jaeschke;Johannes;m;"1995-08-04";Germany;HE;Hessen;"65936";Frankfurt am Main;Westerwaldstraße;"28";"50.1215473";"8.5654154";johannes.jaeschke@email.com;+49403796258
